Product,Rating,Content
Smartwatch T500 Full Touch Screen Anti Air IP67 - Hitam,bintang 4,"berbagi pengalaman saja, kalau pun tokonya ""official store"" kalau mau puas sebaiknya lihat reviewnya dulu. Sebenarnya mau komplain karena produk tidak sesuai sama... "
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,barang nya baru saya pakai satu minggu sudah drop batery nya dipakai sehari lgs habis
Smart Watch Anti Air Support Android IOS Original 100%,bintang 1,"Bluetooth nya nggak bisa nyambung ke Hp ...
Barangnya tidak berkualitas ..."
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 3,"udah pake amazfit bip seri pertama, kalo latihan bodycombat 45menit, langkah biasanya diatas 6000, tapi kalo pake jam amazfit bip 3 ini, dengan waktu yg sama, langkah yg... "
Smartwatch A1 GSM - Smart Watch U10 - Hijau,bintang 4,Lumayan Bagus........
Smart Watch Anti Air Support Android IOS Original 100%,bintang 3,"kenapa yaa ko di chargers ga penuh"" ya?"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,"baru 3 jam dipakai terus shut down sendiri. udah dinyalahin, shut down lagi
tapi emang barang KW, jadi gak berharap banyak"
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 1,"Saya berdoa memberkati anda walaupun entah sengaja/tidak sengaja mengirimkan barang timbangan digital padahal produk yg anda jual adalah smart watch...
Apa yg kamu tabur,... "
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 1,barang yg dikirim berbeda dengan yg tertera di deskripsi produk  udah itu banyak baret nya lagi kyk barang lama mentang mentang bli pas sale dikirim asal asalan 🤬
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 4,"smart watch sudah terima, sebenarnya ordernya yang m3 tapi dikirim m4, ngga apa2, yg penting berfungsi dengan baik, hanya connect dg apps fitpro lama, dibanding m3 dg app... "
Smartwatch A1 GSM - Smart Watch U10 - Hijau,bintang 3,Barangnya sampai dg cepat meskipun agak was2 karena penjual jawabnya ga sesuai pertanyaan. Kurang ramah. Btw terima kasih.
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 3,"gampang patah penjepitnya, over all ok sih, bisa ganti foto sesukanya, baterai kurang awet"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,"pakajing kayak mbungkus gorengan akhirnya penyok penyok, playanan tidak ramah bisa bisanya ngegas."
Smartwatch T500 Full Touch Screen Anti Air IP67 - Hitam,bintang 4,"pesen biru Dateng nya item,,gpp lah mungkin yang packing baru bangun tidur😂"
Smartwatch M7 NEW 2022 Play Music Custom Dials Smartband - M7 Black,bintang 4,belum bisa connect le fitpro jadi jamnya belum berfungsi
Smartwatch A1 GSM - Smart Watch U10 - Hijau,bintang 4,"Brang sesuai psanan,hx sja kurirx pke jne yg trkenal lelet d pamekasn.hadeh jdi lma bnget xmpex"
Smartwatch A1 GSM - Smart Watch U10 - Hijau,bintang 4,"Over all bagus cuman pesen hitam dan biru yg datang hitam semua????
"
Smart Watch Anti Air Support Android IOS Original 100%,bintang 1,"tidak sesuai harapan.👎. Layarnya Gelap,  Talinya tergores kaya bekas"
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 4,"packing kurang rapih sisanya standart
jam berfungsi dengan normal, buat yang mau beli, saya ingetin cas dulu kurang lebih 4-5jam"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,pesan warna navy blue datang warna hitam
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,"kertas petunjuknya hurufnya keeeciiilll bgt, bhs inggris ama china, mana bhs indonesianya?  jadi kagak tahu bgmn mengopesikannya."
Smart Watch Anti Air Support Android IOS Original 100%,bintang 2,"Baterenya tidak tahan lama, dan jamnya tidak bisa diatur."
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,Ngk bisa dicharge…mati total
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 4,Terima kasih tokopedia dan tokonya..barang km terima dgn baik dan bagus..
iWatch Smart Watch Series 5 by Pods Indonesia - Putih,bintang 1,"Seller ramah, pengiriman cepat"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,Ribet aplikasinya. ada hp yg ga bisa pakai aplikasinya.
Smartwatch A1 GSM - Smart Watch U10 - Hijau,bintang 4,"Barang bagus,, pengiriman cepat, cuma untuk pengemasan lama"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,Kurang bagus
Smartwatch M7 NEW 2022 Play Music Custom Dials Smartband - M7 Black,bintang 4,sudah mendarat dgn aman. sayang paking nya tidak pakai bubble
Smart Watch Anti Air Support Android IOS Original 100%,bintang 4,"Barang sesuai deskripsi, hanya karetnya saja seperti stock lama. untuk packing perlu ditingkatkan karena kurang secure. Overall harga murah,kualitas mahal."
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,"Order 3, sdh tanya2 di chat pula sebelumya soal ketersediaan dan fungsi barang…eh, dikirim cm 2, minta tambahannya 1 lg malah dibalikin duit pas komplen.
Yg 2 diterima, g... "
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,"padahal pesanan seri m5 dan m6 strap merah, ygdateng malah seri m5 ke 22nya.strapnya juga biru. agak kecewa walaupun jam nya bagusAda garansi resmi. Barangnya original 👍... "
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 3,1 jam ga bs berfungsi...tdk bisa dipairing ke hp
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 3,beli 2 yg d kirim 1. tapi dana di kembalikan sih...
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 2,ribet klo di charge harus lepas
Smart Watch Anti Air Support Android IOS Original 100%,bintang 1,didak bisa power on
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,yaa sesuailah sama harga.
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 1,ga ada charger di kotaknya. baru beli ga bisa nyala karena chargernya khusus
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 1,barang:a gk sesuai
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 3,"lama datangnya, sudah gitu ribet settingnya"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,ordernya hitam dapat nya yg merah
Smart Watch Anti Air Support Android IOS Original 100%,bintang 3,"packing plastik biasa, dicharge selama 8 jam baru nyala, saqt dicharge indikator di layar hanya nyala sekitar 3 detik, setelah itu mati lagi, pengaturan harus menggunakan... "
Smart Watch Anti Air Support Android IOS Original 100%,bintang 4,sesuai gambar
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,"battery sangat cepat habis. bahkan saat kondisi standby, tidak digunakan"
Smartwatch M7 NEW 2022 Play Music Custom Dials Smartband - M7 Black,bintang 3,"Hargailah barang yang dijual. Saya beli sabun 20 rb, pakai kardus sama buble wrap. Ini barang 50 ribuan packingnya kayak gitu. Banyak yang komen barang sampai dengan kond... "
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 4,Ringan dipakai . Barangnya original 👍. Penjualnya ramah banget.
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 3,"lumayan, tpi tidak sesuai gambar ya guys"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 3,"barang kurang bagus soalnya saya cas ga bisa full batre nya, packing cuman di kasih plastik hitam doang jadinya kardus penyok"
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 3,Fitur mudah digunakan. Ringan dipakai . Barangnya original 👍.
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 4,pengiriman cepat
Smartwatch T500 Full Touch Screen Anti Air IP67 - Hitam,bintang 3,"barang tidak sesuai dengan iklan. knop tidak bisa untuk zoom. tombol menu hanya variasi saja,  charger tidak bisa untuk mengisi."
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,"sdh pengiriman lama banget,
pas dtg, di charge nyala, berfungsi cuman 1 jam, habis itu MATI TOTAL, g bs hdp lagi 🙁
Ya udahlah, resiko barang murah 🙂🙃"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,"bagus sih.. cuma aku dh males pakek aja.. kalau di lepas dr tali mau dicas, malah ke bongkar semua.."
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 4,"Maunya kasih bintang 5 tp sayang nya barang nya tak kunjung sampai, untung nya penjual memberi respon yang baik,tinggal menunggu refund nya saja, supaya bisa order ulang... "
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 1,pengunci jam gampang patah
Smartwatch A1 GSM - Smart Watch U10 - Hijau,bintang 4,"Ok lah sesuai harga, pengiriman barang cepat "
Smart Watch Anti Air Support Android IOS Original 100%,bintang 4,Bingung cara ngechargenya pake apa?
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,"beli 5 di kirim cuman 1, uang di balikin sih tp ttp aja kecewa ,klo ga ready stock knapa bs di order banyak"
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,"Brg jelek🤦🤦🤦🤦🤦
Beli 2 jd pajangan aza"
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 2,"setelah pemakaian 2 minggu, keujanan pas naik motor agak lama sekitar sejam eh ga lama lcd nya mati, cukup disayangkan mengingat di jdul produk katanya anti air.. 
mau cl... "
Eggel Valor Amoled SmartWatch / Smart Watch / Band,bintang 3,"Packing aman, dan barang cepat sampai.. tp sedikit kecewa karena saat di cek barang ada cacat di bagian belakang jam walau tidak pengaruh ke fungsi.. Baret2 nya lumayan b... "
Smart Watch Anti Air Support Android IOS Original 100%,bintang 4,lumayan...semoga tidak cepet rusak
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,Kelengkapan sesuai. Ringan dipakai .
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,tidak sesuai foto dan deskripsi
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 2,kok ga bisa konek ke hp yachh? kasih bintnag 2 dulu
Smartwatch T500 Full Touch Screen Anti Air IP67 - Hitam,bintang 4,barang sdh di perbaiki
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 4,"overall oke, tapi ngeri juga pairing gadgetnya gak ada password .."
Smartwatch M6 NEW 2021 Play Music Custom Dials Smartband - M4 BLACK,bintang 1,smartwatch ga bisa di pakai ga bisa connect ke fitpro
Smart Watch Smartwatch M4 Anti Air Support Android dan Iphone - Hitam - Hitam,bintang 1,gabisa nyala
Smart Watch Anti Air Support Android IOS Original 100%,bintang 4,Packaging rapi
