Product,Rating,Content
OLIKE SMARTWATCH TOUCH SCREEN GPS WATERPROOF SPORT HEALTH TRACKER W11 - Biru,bintang 2,"Dipakai baru sehari, layar sudah blank. Klo digoyang atau dihentakan kadang muncul lagi."
OLIKE SMARTWATCH TOUCH SCREEN GPS WATERPROOF SPORT HEALTH TRACKER W11 - Biru,bintang 3,gak bisa customer antar muka nya
OLIKE SMARTWATCH TOUCH SCREEN GPS WATERPROOF SPORT HEALTH TRACKER W11 - Biru,bintang 4,"Packingnya bagus , barangnya juga okee ,, cuman kendala waktu ingin di sambungkan ke aplikasinnya"
OLIKE SMARTWATCH TOUCH SCREEN GPS WATERPROOF SPORT HEALTH TRACKER W11 - Biru,bintang 4,tampilan LCD nya kurang jernih.....
OLIKE SMARTWATCH TOUCH SCREEN GPS WATERPROOF SPORT HEALTH TRACKER W11 - Biru,bintang 4,packing rapi..blm di unboxing..semoga lancar penjualannya..tks
OLIKE SMARTWATCH TOUCH SCREEN GPS WATERPROOF SPORT HEALTH TRACKER W11 - Biru,bintang 3,Baru dipakai 1 hari sdh rusak 🥲
OLIKE SMARTWATCH TOUCH SCREEN GPS WATERPROOF SPORT HEALTH TRACKER W11 - Biru,bintang 1,"tidak bisa klaim garansi dikarenakan kena air wudlu 
sungguh disayangkan padahal spesifikasinya tahan air"
OLIKE SMARTWATCH TOUCH SCREEN GPS WATERPROOF SPORT HEALTH TRACKER W11 - Biru,bintang 4,Di product IPX7 actualnya IP67 ya sud
OLIKE SMARTWATCH TOUCH SCREEN GPS WATERPROOF SPORT HEALTH TRACKER W11 - Biru,bintang 2,"setelah sy pakai krg lebih 1 bulan, displaynya meredup, sehingga sy tdk bs melihat indikator yg ada"
OLIKE SMARTWATCH TOUCH SCREEN GPS WATERPROOF SPORT HEALTH TRACKER W11 - Biru,bintang 1,"KECEWA, Baru pakai sehari eroor, layar putih,,.. beli CCTVnya merek olike ini padahal bagus... tapi kenapa jam tangannya produk gagal dijual :-("
OLIKE SMARTWATCH TOUCH SCREEN GPS WATERPROOF SPORT HEALTH TRACKER W11 - Biru,bintang 3,produk sdh terima namun pengoperasiannya sedikit susah... tidak bisa conect ke HP Android jd tidak bisa di setting Jam nya. jadi kasi 3 binta aja dulu
OLIKE SMARTWATCH TOUCH SCREEN GPS WATERPROOF SPORT HEALTH TRACKER W11 - Biru,bintang 3,netral
OLIKE SMARTWATCH TOUCH SCREEN GPS WATERPROOF SPORT HEALTH TRACKER W11 - Biru,bintang 1,"tidak bisa dipakai, sbg jam goblokpun gak bisa"
OLIKE SMARTWATCH TOUCH SCREEN GPS WATERPROOF SPORT HEALTH TRACKER W11 - Biru,bintang 1,tidak sesuai dengan deskripsi
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 1,"Seller sangat tidak peduli atas delivery yang sampai skrg saya belum terima, Antaraja yang sangat tidak profesional dalam pengiriman sempet di claim barang hilang sampai... "
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 4,Semoga barangnya awet.. packing aman.. sayang sekali proses dan pengirimannya lama sekali
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 4,barang resmi masih segel cm proses& pengiriman agak lambat
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 4,"1. Barang oke. Bagus. Tidak ada masalah dengan koneksi. 

2. Komunikasi dengan admin lancar dalam arti cepat, tapi informasi sangat jauh dari sinkron. Sebelum check out m... "
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 4,awal ga diproses sampe auto cancel
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 3,"pengiriman lama pesen tgl 28 feb baru di terima tgl 4 maret pd hal sama2 jakarta 😁
untuk atur pickup aja butuh 3 hari dari barang di pesan"
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 4,"barang sesuai..
admin kurang fast respond"
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 4,kurang responsif ketika gerakin tangan buat liat jamnya
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 4,smoga awet amin
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 4,"packing aman, semoga amazfitnya bisa dipakai"
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 3,"udah pake amazfit bip seri pertama, kalo latihan bodycombat 45menit, langkah biasanya diatas 6000, tapi kalo pake jam amazfit bip 3 ini, dengan waktu yg sama, langkah yg... "
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 3,Kecewa banget karena barangnya rusak dan masih dlm proses claim
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 4,"Maunya kasih bintang 5 tp sayang nya barang nya tak kunjung sampai, untung nya penjual memberi respon yang baik,tinggal menunggu refund nya saja, supaya bisa order ulang... "
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 4,real okeh
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 4,"Kulaitas dan fitur sesuai
Packaging aman"
"Amazfit Bip 3 Smartwatch 1.69"" Ultra-large Color Display 50 watch face - Hitam",bintang 4,"barang sesuai, packing aman. proses pesanan cepat"
Smartwatch A1 GSM - Smart Watch U10 - Hijau,bintang 4,"installer BT di hp error terus, tapi bisa konek. overall puas, sesuai harga"
Smartwatch A1 GSM - Smart Watch U10 - Hijau,bintang 4,Selalu puas belanja disini. Tp tolong restock lagi dong warna jamnya biar tambah banyak pilihan
Smartwatch A1 GSM - Smart Watch U10 - Hijau,bintang 4,mantapppppppppppppppppppp
Smartwatch A1 GSM - Smart Watch U10 - Hijau,bintang 4,mantapppppppppppppppppppppppppp
Smartwatch A1 GSM - Smart Watch U10 - Hijau,bintang 4,brang ok... tp aq dropship gk aman knpa masih pke nma toko ini 😥😥
Smartwatch A1 GSM - Smart Watch U10 - Hijau,bintang 3,Pesanan sesuai dengan di foto.
